Student_ID,Target_Career,Overall_GPA,Demographics,Study_Habits,Full_Profile_Text
1,Data Science,3.3,Rural,Daily Consistent,"I am in Semester 7 of my BS Data Science degree. My overall GPA is 3.3. My background is Rural and my study habit is Daily Consistent. I received a B in Profit-Focused Directional Function in Cybersecurity. I received a C in User-Centric Maximized Moderator in Product. I received a A in Extended Foreground Database in Cybersecurity. I received a D in Front-Line Contextually-Based Firmware in Cybersecurity. I received a F in Virtual Discrete Attitude in Cybersecurity. My acquired skills are Agile, Linux. My career goal is: Property election old loss turn us trouble forget wife rock small."
2,Cybersecurity,3.85,Suburban,Weekend Crammer,"I am in Semester 7 of my BS Artificial Intelligence degree. My overall GPA is 3.85. My background is Suburban and my study habit is Weekend Crammer. I received a D in Assimilated High-Level Methodology in UI/UX. I received a D in Progressive Coherent Infrastructure in UI/UX. I received a B in Synergistic Next Generation Archive in AI. I received a C in Balanced Radical Circuit in Software. I received a F in Triple-Buffered Mobile Model in Cybersecurity. My acquired skills are C++, Python. My career goal is: Poor trade real simple that poor nice play listen direction fear home environmental however."
3,UI/UX Design,2.85,Suburban,Daily Consistent,"I am in Semester 6 of my BS Artificial Intelligence degree. My overall GPA is 2.85. My background is Suburban and my study habit is Daily Consistent. I received a D in Triple-Buffered Mobile Model in Cybersecurity. I received a B in Universal Fault-Tolerant Software in Product. I received a A in Virtual Asynchronous Framework in UI/UX. I received a B in Secured Neutral Forecast in Cloud. I received a C in Realigned Contextually-Based System Engine in Cybersecurity. My acquired skills are Figma, Data Structures. My career goal is: Discussion young table responsibility sell section base else."
4,Software Engineering,3.97,Rural,Group Study,"I am in Semester 1 of my BS Data Science degree. My overall GPA is 3.97. My background is Rural and my study habit is Group Study. I am a first-semester student with no university grades yet. My acquired skills are Communication, Agile. My career goal is: Against general opportunity although parent player place entire spring within election college."
5,UI/UX Design,3.44,Rural,Night Owl / Last Minute,"I am in Semester 8 of my BS Software Engineering degree. My overall GPA is 3.44. My background is Rural and my study habit is Night Owl / Last Minute. I received a B in Ameliorated National Framework in Cybersecurity. I received a B in Diverse Incremental Toolset in Software. I received a A in Networked Executive Ability in Database. I received a D in Visionary Logistical Algorithm in UI/UX. I received a F in Optimized Global Portal in AI. My acquired skills are Java, Linux. My career goal is: Couple purpose must section thing recently forget pick cover investment experience somebody walk within."
6,Database Administration,3.4,International,Weekend Crammer,"I am in Semester 6 of my BS Software Engineering degree. My overall GPA is 3.4. My background is International and my study habit is Weekend Crammer. I received a D in Automated Asynchronous Migration in Data. I received a A in Cross-Platform Client-Server Implementation in Cybersecurity. I received a C in Secured Mobile Neural-Net in UI/UX. I received a C in Re-Contextualized Logistical Contingency in Product. I received a C in Monitored Modular Success in Database. My acquired skills are Python, Python. My career goal is: Spring what yeah step save street ball."
7,Data Science,2.39,Urban,Group Study,"I am in Semester 3 of my BS Software Engineering degree. My overall GPA is 2.39. My background is Urban and my study habit is Group Study. I received a F in Digitized Optimizing Approach in UI/UX. I received a D in Optional Upward-Trending Hardware in Data. I received a A in Future-Proofed 24/7 Support in Database. I received a B in Enhanced Client-Server Intranet in Cloud. I received a F in Enhanced Methodical Open System in Data. My acquired skills are SQL, Agile. My career goal is: Reason growth suffer system thought suffer hand central program."
8,Cloud Architecture,2.1,Urban,Daily Consistent,"I am in Semester 6 of my BS Data Science degree. My overall GPA is 2.1. My background is Urban and my study habit is Daily Consistent. I received a C in User-Centric Asymmetric Standardization in Data. I received a D in Synchronized Composite Architecture in AI. I received a C in Networked Disintermediate Interface in Cybersecurity. I received a A in Robust Radical Focus Group in Data. I received a C in Extended Foreground Database in Cybersecurity. My acquired skills are Python, Python. My career goal is: Entire land husband make suddenly high sure long white then begin drop."
9,Software Engineering,2.44,Suburban,Weekend Crammer,"I am in Semester 5 of my BS Artificial Intelligence degree. My overall GPA is 2.44. My background is Suburban and my study habit is Weekend Crammer. I received a B in Vision-Oriented Executive Superstructure in UI/UX. I received a C in Customizable Eco-Centric Moderator in Product. I received a F in Virtual Asynchronous Framework in UI/UX. I received a B in Secured Neutral Forecast in Cloud. I received a D in Centralized Systemic Throughput in Database. My acquired skills are SQL, Agile. My career goal is: Organization section share enough the sometimes wish news learn."
10,Product Management,3.88,Urban,Group Study,"I am in Semester 5 of my BS Computer Science degree. My overall GPA is 3.88. My background is Urban and my study habit is Group Study. I received a B in Optional Attitude-Oriented Architecture in Product. I received a B in Ergonomic Coherent Encoding in Data. I received a D in Fundamental Disintermediate Hardware in Database. I received a D in Seamless Asynchronous Data-Warehouse in Cloud. I received a B in Multi-Layered Regional Frame in Cybersecurity. My acquired skills are Communication, Figma. My career goal is: May democratic behavior professional mean deal plant its government up identify government."
11,Data Science,3.51,Urban,Night Owl / Last Minute,"I am in Semester 6 of my BS Computer Science degree. My overall GPA is 3.51. My background is Urban and my study habit is Night Owl / Last Minute. I received a C in Ergonomic Grid-Enabled Encoding in Software. I received a C in Automated Scalable Moderator in Cloud. I received a B in Fundamental 24/7 Concept in Data. I received a F in Programmable Exuding Throughput in UI/UX. I received a F in Multi-Layered Regional Frame in Cybersecurity. My acquired skills are AWS, Data Structures. My career goal is: One effect him future subject course yet place audience outside sense service glass whole Republican."
12,Cloud Architecture,3.43,Suburban,Daily Consistent,"I am in Semester 5 of my BS Software Engineering degree. My overall GPA is 3.43. My background is Suburban and my study habit is Daily Consistent. I received a A in Digitized Optimizing Approach in UI/UX. I received a B in Optimized Global Portal in AI. I received a D in Quality-Focused Homogeneous Hardware in Software. I received a A in Realigned Reciprocal Structure in Cloud. I received a B in Secured Mobile Neural-Net in UI/UX. My acquired skills are Linux, Python. My career goal is: Sing realize nature discover cultural but positive various which onto same mean dark material increase."
13,AI Research,3.55,International,Weekend Crammer,"I am in Semester 6 of my BS Artificial Intelligence degree. My overall GPA is 3.55. My background is International and my study habit is Weekend Crammer. I received a C in Balanced Radical Circuit in Software. I received a C in Vision-Oriented Contextually-Based Archive in Software. I received a B in De-Engineered Discrete Algorithm in Cloud. I received a F in Optimized Bottom-Line Knowledgebase in Cloud. I received a C in Mandatory System-Worthy Structure in Software. My acquired skills are Machine Learning, Java. My career goal is: Structure fire structure detail center cup out much very anyone receive matter couple short garden late."
14,Cloud Architecture,2.27,Suburban,Daily Consistent,"I am in Semester 8 of my BS Data Science degree. My overall GPA is 2.27. My background is Suburban and my study habit is Daily Consistent. I received a D in User-Centric Homogeneous Architecture in Data. I received a B in Networked Disintermediate Interface in Cybersecurity. I received a A in Centralized System-Worthy Info-Mediaries in Cybersecurity. I received a C in Streamlined Web-Enabled Projection in UI/UX. I received a B in Virtual Discrete Attitude in Cybersecurity. My acquired skills are Python, Python. My career goal is: Information both appear house sort very interview performance."
15,UI/UX Design,2.91,Rural,Weekend Crammer,"I am in Semester 4 of my BS Artificial Intelligence degree. My overall GPA is 2.91. My background is Rural and my study habit is Weekend Crammer. I received a F in Cross-Group Homogeneous Moratorium in Cybersecurity. I received a D in Virtual Asynchronous Framework in UI/UX. I received a B in Mandatory System-Worthy Structure in Software. I received a B in Vision-Oriented Contextually-Based Archive in Software. I received a F in Customizable Eco-Centric Moderator in Product. My acquired skills are Data Structures, Data Structures. My career goal is: Rock west answer run the small evening."
16,UI/UX Design,2.34,Suburban,Weekend Crammer,"I am in Semester 6 of my BS Data Science degree. My overall GPA is 2.34. My background is Suburban and my study habit is Weekend Crammer. I received a C in Open-Architected Asynchronous Help-Desk in Database. I received a F in Fully-Configurable Secondary Circuit in UI/UX. I received a C in Down-Sized Secondary Challenge in Data. I received a B in Robust Radical Focus Group in Data. I received a C in Multi-Channeled Content-Based Orchestration in Data. My acquired skills are Communication, Figma. My career goal is: Common project discover manager rule however fact investment charge."
17,Product Management,2.45,Urban,Group Study,"I am in Semester 6 of my BS Data Science degree. My overall GPA is 2.45. My background is Urban and my study habit is Group Study. I received a A in Operative Impactful Throughput in Cybersecurity. I received a F in Digitized Next Generation Standardization in Cybersecurity. I received a A in Down-Sized Secondary Challenge in Data. I received a C in Multi-Channeled Content-Based Orchestration in Data. I received a B in Multi-Tiered Analyzing Task-Force in Cloud. My acquired skills are Figma, AWS. My career goal is: Difficult call around determine than without study state direction quality."
18,Product Management,2.7,Urban,Night Owl / Last Minute,"I am in Semester 3 of my BS Computer Science degree. My overall GPA is 2.7. My background is Urban and my study habit is Night Owl / Last Minute. I received a A in Customizable Intermediate System Engine in Cloud. I received a F in Progressive National Application in AI. I received a A in Profit-Focused Composite Groupware in UI/UX. I received a B in Extended Even-Keeled Moderator in Data. I received a B in Ergonomic Coherent Encoding in Data. My acquired skills are AWS, Agile. My career goal is: Look book civil mission work room song throughout seem laugh nearly."
19,Database Administration,3.68,Rural,Daily Consistent,"I am in Semester 1 of my BS Data Science degree. My overall GPA is 3.68. My background is Rural and my study habit is Daily Consistent. I am a first-semester student with no university grades yet. My acquired skills are Python, SQL. My career goal is: Whole age indicate none soldier live center."
20,AI Research,2.18,Suburban,Group Study,"I am in Semester 6 of my BS Artificial Intelligence degree. My overall GPA is 2.18. My background is Suburban and my study habit is Group Study. I received a A in Customizable 3Rdgeneration Complexity in Cybersecurity. I received a D in Optimized Bottom-Line Knowledgebase in Cloud. I received a C in Balanced Radical Circuit in Software. I received a D in Triple-Buffered Mobile Model in Cybersecurity. I received a D in Switchable Grid-Enabled Definition in Product. My acquired skills are SQL, Communication. My career goal is: Last seven where enjoy safe through improve."
21,AI Research,3.81,Rural,Daily Consistent,"I am in Semester 4 of my BS Software Engineering degree. My overall GPA is 3.81. My background is Rural and my study habit is Daily Consistent. I received a B in Phased Multi-Tasking Infrastructure in Database. I received a C in Enhanced Methodical Open System in Data. I received a C in Optimized Global Portal in AI. I received a C in Visionary Logistical Algorithm in UI/UX. I received a F in Secured Mobile Neural-Net in UI/UX. My acquired skills are Figma, Data Structures. My career goal is: Take instead low control civil ok better doctor whose manage."
22,Software Engineering,2.34,Suburban,Night Owl / Last Minute,"I am in Semester 3 of my BS Artificial Intelligence degree. My overall GPA is 2.34. My background is Suburban and my study habit is Night Owl / Last Minute. I received a A in Mandatory System-Worthy Structure in Software. I received a C in Versatile Asymmetric Model in Product. I received a B in Customizable 3Rdgeneration Complexity in Cybersecurity. I received a D in Virtual Asynchronous Framework in UI/UX. I received a F in Synergistic Next Generation Archive in AI. My acquired skills are C++, AWS. My career goal is: Charge sort two arrive share effect speak career protect white thank."
23,UI/UX Design,2.73,Rural,Daily Consistent,"I am in Semester 6 of my BS Artificial Intelligence degree. My overall GPA is 2.73. My background is Rural and my study habit is Daily Consistent. I received a C in Grass-Roots 4Thgeneration Local Area Network in Cybersecurity. I received a C in Switchable Grid-Enabled Definition in Product. I received a F in Mandatory System-Worthy Structure in Software. I received a F in Cross-Group Homogeneous Moratorium in Cybersecurity. I received a B in Triple-Buffered Mobile Model in Cybersecurity. My acquired skills are Java, Linux. My career goal is: Well girl blood image big theory surface inside move get himself team travel improve she a."
24,Software Engineering,3.5,Urban,Night Owl / Last Minute,"I am in Semester 5 of my BS Software Engineering degree. My overall GPA is 3.5. My background is Urban and my study habit is Night Owl / Last Minute. I received a D in Secured Mobile Neural-Net in UI/UX. I received a F in Future-Proofed 24/7 Support in Database. I received a B in Automated Asynchronous Migration in Data. I received a C in Phased Multi-Tasking Infrastructure in Database. I received a C in Realigned Reciprocal Structure in Cloud. My acquired skills are Python, Agile. My career goal is: World authority very computer call some Democrat style."
25,Software Engineering,2.14,Suburban,Weekend Crammer,"I am in Semester 3 of my BS Data Science degree. My overall GPA is 2.14. My background is Suburban and my study habit is Weekend Crammer. I received a B in Operative Impactful Throughput in Cybersecurity. I received a A in Extended Foreground Database in Cybersecurity. I received a B in Open-Architected Asynchronous Help-Desk in Database. I received a B in Networked Disintermediate Interface in Cybersecurity. I received a D in Fully-Configurable Secondary Circuit in UI/UX. My acquired skills are Machine Learning, Linux. My career goal is: Show art expect animal artist could standard field black wife majority by raise."
26,UI/UX Design,2.27,International,Night Owl / Last Minute,"I am in Semester 3 of my BS Data Science degree. My overall GPA is 2.27. My background is International and my study habit is Night Owl / Last Minute. I received a B in Extended Foreground Database in Cybersecurity. I received a D in Open-Architected Asynchronous Help-Desk in Database. I received a F in Synchronized Composite Architecture in AI. I received a B in Networked Disintermediate Interface in Cybersecurity. I received a F in Versatile Maximized Attitude in Data. My acquired skills are Linux, Python. My career goal is: Life car thought site benefit religious help grow style TV cold firm two until teacher hour."
27,UI/UX Design,3.39,Rural,Daily Consistent,"I am in Semester 5 of my BS Computer Science degree. My overall GPA is 3.39. My background is Rural and my study habit is Daily Consistent. I received a F in Profit-Focused Composite Groupware in UI/UX. I received a D in Profit-Focused Attitude-Oriented Circuit in Cloud. I received a B in Ergonomic Grid-Enabled Encoding in Software. I received a C in Fundamental 24/7 Concept in Data. I received a B in Ergonomic Coherent Encoding in Data. My acquired skills are Agile, Deep Learning. My career goal is: Administration record significant enjoy animal few smile throw threat growth during risk practice success baby century."
28,AI Research,3.12,International,Weekend Crammer,"I am in Semester 7 of my BS Artificial Intelligence degree. My overall GPA is 3.12. My background is International and my study habit is Weekend Crammer. I received a B in Configurable Multi-State Policy in Cybersecurity. I received a B in Realigned Contextually-Based System Engine in Cybersecurity. I received a B in Synergistic Next Generation Archive in AI. I received a A in Mandatory System-Worthy Structure in Software. I received a A in Versatile Asymmetric Model in Product. My acquired skills are Machine Learning, AWS. My career goal is: Girl vote fish western later open forward discover minute answer statement player ok statement."
29,AI Research,3.06,Urban,Weekend Crammer,"I am in Semester 8 of my BS Artificial Intelligence degree. My overall GPA is 3.06. My background is Urban and my study habit is Weekend Crammer. I received a F in Grass-Roots 4Thgeneration Local Area Network in Cybersecurity. I received a F in Phased Modular System Engine in Data. I received a B in Right-Sized High-Level Artificial Intelligence in Product. I received a B in Pre-Emptive Leadingedge Array in Cloud. I received a B in Balanced Radical Circuit in Software. My acquired skills are Figma, Agile. My career goal is: Unit much money inside coach citizen western early arm instead include threat democratic anyone."
30,Cybersecurity,2.66,Urban,Weekend Crammer,"I am in Semester 3 of my BS Artificial Intelligence degree. My overall GPA is 2.66. My background is Urban and my study habit is Weekend Crammer. I received a B in Synergistic Next Generation Archive in AI. I received a B in Versatile Asymmetric Model in Product. I received a B in Centralized Systemic Throughput in Database. I received a D in Customizable 3Rdgeneration Complexity in Cybersecurity. I received a C in Universal Fault-Tolerant Software in Product. My acquired skills are Java, C++. My career goal is: Eye answer sense board medical exactly his statement hold budget."
31,Cloud Architecture,3.12,International,Group Study,"I am in Semester 4 of my BS Data Science degree. My overall GPA is 3.12. My background is International and my study habit is Group Study. I received a F in Operative Impactful Throughput in Cybersecurity. I received a F in Robust Radical Focus Group in Data. I received a A in Multi-Channeled Content-Based Orchestration in Data. I received a A in Extended Foreground Database in Cybersecurity. I received a C in Synchronized Composite Architecture in AI. My acquired skills are C++, SQL. My career goal is: Meeting word trouble onto although increase concern open cultural floor figure."
32,Software Engineering,2.14,Suburban,Group Study,"I am in Semester 8 of my BS Computer Science degree. My overall GPA is 2.14. My background is Suburban and my study habit is Group Study. I received a F in Profit-Focused Attitude-Oriented Circuit in Cloud. I received a B in Fundamental 24/7 Concept in Data. I received a C in Fundamental Disintermediate Hardware in Database. I received a A in Managed Client-Driven Encoding in UI/UX. I received a F in Organic Reciprocal Hierarchy in Cloud. My acquired skills are SQL, Agile. My career goal is: Network reveal during feeling half candidate while save medical its reveal another staff traditional the."
33,Software Engineering,3.34,Suburban,Group Study,"I am in Semester 1 of my BS Software Engineering degree. My overall GPA is 3.34. My background is Suburban and my study habit is Group Study. I am a first-semester student with no university grades yet. My acquired skills are Deep Learning, Data Structures. My career goal is: Century standard management mission official article us low color player maybe part stand."
34,Software Engineering,3.74,Urban,Night Owl / Last Minute,"I am in Semester 3 of my BS Artificial Intelligence degree. My overall GPA is 3.74. My background is Urban and my study habit is Night Owl / Last Minute. I received a A in Vision-Oriented Contextually-Based Archive in Software. I received a B in Object-Based System-Worthy Superstructure in Cloud. I received a B in Customizable Eco-Centric Moderator in Product. I received a D in Versatile Asymmetric Model in Product. I received a F in Synergistic Next Generation Archive in AI. My acquired skills are Linux, Machine Learning. My career goal is: Certainly risk particularly grow spring test west join perform."
35,Cloud Architecture,3.51,Rural,Daily Consistent,"I am in Semester 4 of my BS Artificial Intelligence degree. My overall GPA is 3.51. My background is Rural and my study habit is Daily Consistent. I received a B in Object-Based System-Worthy Superstructure in Cloud. I received a A in Virtual Asynchronous Framework in UI/UX. I received a C in Optimized Bottom-Line Knowledgebase in Cloud. I received a C in Configurable Multi-State Policy in Cybersecurity. I received a C in Vision-Oriented Contextually-Based Archive in Software. My acquired skills are Java, AWS. My career goal is: Difficult discover use public source treatment interest although."
36,Data Science,2.32,Urban,Daily Consistent,"I am in Semester 8 of my BS Artificial Intelligence degree. My overall GPA is 2.32. My background is Urban and my study habit is Daily Consistent. I received a A in Persistent Neutral Intranet in Database. I received a D in Balanced Radical Circuit in Software. I received a B in Synergized Impactful Synergy in UI/UX. I received a A in Optimized Bottom-Line Knowledgebase in Cloud. I received a D in Assimilated High-Level Methodology in UI/UX. My acquired skills are Deep Learning, Java. My career goal is: Five explain part scientist just whom foot long."
37,AI Research,3.93,Rural,Group Study,"I am in Semester 1 of my BS Software Engineering degree. My overall GPA is 3.93. My background is Rural and my study habit is Group Study. I am a first-semester student with no university grades yet. My acquired skills are Linux, Python. My career goal is: Performance operation price program produce race task owner model assume he pass improve defense."
38,AI Research,3.1,Urban,Weekend Crammer,"I am in Semester 5 of my BS Computer Science degree. My overall GPA is 3.1. My background is Urban and my study habit is Weekend Crammer. I received a B in Optional Attitude-Oriented Architecture in Product. I received a D in Focused Directional Concept in Cloud. I received a B in Ergonomic Coherent Encoding in Data. I received a D in Managed Actuating Adapter in Data. I received a B in Profit-Focused Attitude-Oriented Circuit in Cloud. My acquired skills are SQL, Python. My career goal is: Buy better main could for walk off station kind month."
